Time,Gaze Origin,Gaze Direction,Fixation Point,Confidence Value,ClickPoint,
2023.10.14-15.48.32.550,X=420763.485 Y=368728.721 Z=2401.593,X=0.141 Y=-0.759 Z=0.635,X=0.000 Y=0.000 Z=0.000,1.0,X=420922.746 Y=367818.362 Z=3106.941,
2023.10.14-15.48.32.599,X=420762.947 Y=368729.277 Z=2401.721,X=0.127 Y=-0.756 Z=0.642,X=0.000 Y=0.000 Z=0.000,1.0,X=420907.244 Y=367820.379 Z=3115.588,
2023.10.14-15.48.32.652,X=420762.135 Y=368729.863 Z=2401.960,X=0.102 Y=-0.746 Z=0.658,X=0.000 Y=0.000 Z=0.000,1.0,X=420880.142 Y=367825.689 Z=3138.346,
2023.10.14-15.48.32.699,X=420761.436 Y=368730.129 Z=2402.066,X=0.082 Y=-0.742 Z=0.666,X=0.000 Y=0.000 Z=0.000,1.0,X=420858.025 Y=367828.258 Z=3149.361,
2023.10.14-15.48.32.751,X=420760.036 Y=368730.614 Z=2402.333,X=0.060 Y=-0.736 Z=0.674,X=0.000 Y=0.000 Z=0.000,1.0,X=420832.897 Y=367831.205 Z=3161.994,
2023.10.14-15.48.32.801,X=420758.724 Y=368731.190 Z=2402.460,X=0.046 Y=-0.736 Z=0.675,X=0.000 Y=0.000 Z=0.000,1.0,X=420816.167 Y=367832.157 Z=3166.074,
2023.10.14-15.48.32.853,X=420756.698 Y=368734.989 Z=2402.386,X=0.038 Y=-0.737 Z=0.675,X=0.000 Y=0.000 Z=0.000,1.0,X=420805.342 Y=367833.500 Z=3171.828,
2023.10.14-15.48.32.903,X=420752.997 Y=368743.804 Z=2402.413,X=0.026 Y=-0.738 Z=0.674,X=0.000 Y=0.000 Z=0.000,1.0,X=420788.384 Y=367835.402 Z=3179.984,
2023.10.14-15.48.32.953,X=420747.273 Y=368757.407 Z=2402.396,X=0.013 Y=-0.742 Z=0.671,X=0.000 Y=0.000 Z=0.000,1.0,X=420767.176 Y=367837.378 Z=3188.453,
2023.10.14-15.48.33.003,X=420739.724 Y=368776.763 Z=2402.425,X=-0.019 Y=-0.742 Z=0.670,X=0.000 Y=0.000 Z=0.000,1.0,X=420720.946 Y=367841.101 Z=3204.412,
2023.10.14-15.48.33.053,X=420731.406 Y=368799.990 Z=2402.410,X=-0.035 Y=-0.740 Z=0.671,X=0.000 Y=0.000 Z=0.000,1.0,X=420691.987 Y=367846.650 Z=3228.196,
2023.10.14-15.48.33.101,X=420722.428 Y=368827.950 Z=2402.483,X=-0.033 Y=-0.740 Z=0.671,X=0.000 Y=0.000 Z=0.000,1.0,X=420686.296 Y=367851.670 Z=3249.715,
2023.10.14-15.48.33.151,X=420713.740 Y=368856.542 Z=2402.569,X=-0.039 Y=-0.739 Z=0.672,X=0.000 Y=0.000 Z=0.000,1.0,X=420669.222 Y=367857.054 Z=3272.793,
2023.10.14-15.48.33.198,X=420705.834 Y=368884.543 Z=2402.581,X=-0.036 Y=-0.734 Z=0.678,X=0.000 Y=0.000 Z=0.000,1.0,X=420665.580 Y=367864.398 Z=3304.273,
2023.10.14-15.48.33.246,X=420698.352 Y=368912.207 Z=2402.656,X=-0.061 Y=-0.744 Z=0.666,X=0.000 Y=0.000 Z=0.000,1.0,X=420623.712 Y=367863.876 Z=3302.033,
