Time,PlayerLocation,PlaterRotation,
2023.10.14-15.46.51.773,X=400720.802 Y=371173.389 Z=1414.941,P=-1.515265 Y=136.091833 R=7.530176,
2023.10.14-15.46.51.782,X=400720.802 Y=371173.389 Z=1414.941,P=3.837514 Y=147.543307 R=8.478814,
2023.10.14-15.46.51.797,X=400720.802 Y=371173.389 Z=1414.941,P=4.305741 Y=148.235602 R=8.538898,
2023.10.14-15.46.51.893,X=400720.802 Y=371173.389 Z=1414.941,P=3.014305 Y=151.511749 R=8.460238,
2023.10.14-15.46.51.948,X=400720.802 Y=371173.389 Z=1414.941,P=5.245398 Y=153.492524 R=8.133635,
2023.10.14-15.46.52.007,X=400720.802 Y=371173.389 Z=1414.941,P=5.695537 Y=155.217680 R=8.294768,
2023.10.14-15.46.52.065,X=400720.802 Y=371173.389 Z=1414.941,P=6.066926 Y=155.539288 R=8.106295,
2023.10.14-15.46.52.122,X=400720.802 Y=371173.389 Z=1414.941,P=6.225690 Y=155.621330 R=8.118563,
2023.10.14-15.46.52.173,X=400720.802 Y=371173.389 Z=1414.941,P=6.756183 Y=155.720023 R=8.273768,
2023.10.14-15.46.52.218,X=400720.802 Y=371173.389 Z=1414.941,P=6.954237 Y=155.621924 R=8.266237,
2023.10.14-15.46.52.273,X=400720.802 Y=371173.389 Z=1414.941,P=7.292827 Y=154.699909 R=7.930679,
2023.10.14-15.46.52.324,X=400720.802 Y=371173.389 Z=1414.941,P=7.377041 Y=153.441662 R=7.664001,
2023.10.14-15.46.52.633,X=400720.802 Y=371173.389 Z=1414.941,P=7.904300 Y=151.829472 R=7.785501,
2023.10.14-15.46.52.638,X=400720.802 Y=371173.389 Z=1414.941,P=6.045606 Y=140.066091 R=6.838305,
2023.10.14-15.46.52.693,X=400720.802 Y=371173.389 Z=1414.941,P=6.455501 Y=136.964425 R=6.634303,
2023.10.14-15.46.52.751,X=400720.802 Y=371173.389 Z=1414.941,P=5.963383 Y=133.713060 R=6.723610,
